consensusTime,searchTime,onChainTime,seqId,roundId,comId
5.97650473s,1.285984681s,8m26.384849617s,104,0,0
5.992246105s,1.401012619s,4m52.232113936s,414,0,0
5.785942326s,1.388540699s,9m35.624482536s,6,0,0
6.836992567s,1.184286839s,3m41.801764899s,515,0,0
5.670634515s,1.204333558s,57.388799146s,751,0,0
6.425645388s,1.368066045s,6m35.189992409s,269,0,0
6.045053886s,1.144055226s,1m17.798065122s,725,0,0
6.668458401s,1.110221292s,6m27.834269992s,278,0,0
6.523461255s,1.207098678s,6m7.244269325s,301,0,0
6.600985874s,1.186652963s,4m9.908500247s,475,0,0
6.7944138s,1.453701919s,2m32.871623209s,614,0,0
5.683567867s,1.323946861s,1m18.193115767s,726,0,0
5.828112008s,1.304344974s,36.351778954s,784,0,0
6.478368826s,1.129466323s,8m39.47377368s,81,0,0
6.084314656s,1.143713799s,9m28.527206001s,14,0,0
6.298516184s,1.259386236s,8.171900823s,827,0,0
6.150783533s,1.076375636s,4m38.295657286s,434,0,0
6.379121096s,1.024093061s,5m32.906780025s,353,0,0
6.264241249s,1.012033297s,15.102605718s,820,0,0
6.319143843s,1.370806636s,8m12.510938351s,127,0,0
6.576817383s,1.390986912s,4m9.899691015s,472,0,0
6.530553449s,1.170524358s,6m55.710662984s,238,0,0
6.310408023s,1.194854866s,5m19.429198478s,372,0,0
6.859274714s,1.453449879s,1m3.089551237s,746,0,0
6.105582153s,1.094538384s,4m38.378266449s,439,0,0
6.354693498s,1.179198519s,4m3.558096341s,489,0,0
6.540818971s,1.258785506s,8m53.233386616s,70,0,0
6.508576423s,1.27321099s,5m19.230389367s,373,0,0
6.429875986s,1.302316885s,1m52.151699805s,680,0,0
5.275609636s,1.075002091s,6m43.063684064s,256,0,0
6.715587594s,1.038753471s,3m28.210719277s,534,0,0
6.837136169s,1.195802473s,6m13.885401791s,296,0,0
6.395322514s,1.018005069s,3m56.39542539s,500,0,0
6.821651121s,1.186590393s,3m28.104336575s,535,0,0
6.504166168s,1.241464968s,7m37.625717698s,177,0,0
5.772623557s,1.225537453s,4m32.021776065s,448,0,0
6.863950139s,1.279086167s,21.544505348s,807,0,0
6.298577036s,1.024220766s,4m31.495769698s,441,0,0
6.053486185s,1.126614103s,22.354892727s,805,0,0
6.48211902s,1.003477058s,5m39.557608507s,344,0,0
6.363567113s,1.149297528s,22.04478409s,806,0,0
