consensusTime,searchTime,onChainTime,seqId,roundId,comId
9.415078552s,1.079395165s,8m59.743600029s,92,0,0
8.896128491s,1.141491098s,3m22.050402678s,435,0,0
9.722645153s,1.120224257s,9m49.982734393s,50,0,0
9.1230207s,1.357979815s,6m31.003280098s,250,0,0
9.183626614s,1.456493612s,10m20.722284319s,14,0,0
8.468169347s,1.185266264s,10m21.437869597s,20,0,0
9.285536686s,1.191788751s,6m30.841130796s,249,0,0
8.68171753s,1.122648486s,4m2.020389959s,398,0,0
9.740918673s,1.16375548s,10m0.201441188s,35,0,0
8.679083971s,1.462763093s,9m41.220586744s,51,0,0
9.290221301s,1.240806899s,9m50.414982105s,41,0,0
9.799968446s,1.455168197s,8m20.371479142s,132,0,0
9.060644266s,1.075386388s,8m30.722969612s,128,0,0
9.005208148s,1.440003924s,5m2.362537782s,333,0,0
9.121698426s,1.302271888s,7m39.755730817s,174,0,0
8.895069395s,1.457022926s,3m22.050914516s,433,0,0
9.684916323s,1.42160373s,4m31.685209447s,365,0,0
8.943728096s,1.136410882s,10.361615551s,626,0,0
9.009544065s,1.418777156s,7m50.601911444s,163,0,0
9.488648854s,1.483267054s,9m50.216483082s,47,0,0
8.635667438s,1.152187129s,1m1.072881744s,579,0,0
9.856908289s,1.499594706s,5m1.51158296s,331,0,0
10.280346407s,1.418536026s,8m19.891823027s,137,0,0
8.606966357s,1.428603926s,1m1.101488002s,573,0,0
10.034185714s,1.170865246s,2m20.082874849s,495,0,0
10.227670647s,1.220045856s,3m11.012749721s,448,0,0
8.850392994s,1.192432303s,4m42.263314735s,359,0,0
9.376306129s,1.363443473s,7m10.507759431s,210,0,0
8.690288579s,1.083668031s,2m41.91845588s,479,0,0
8.008810258s,1.088934034s,5m23.143848982s,318,0,0
8.800119449s,1.138037913s,8m11.091428712s,147,0,0
9.186498612s,1.274031387s,6m30.94018986s,246,0,0
8.568594552s,1.213222415s,5m52.298007533s,281,0,0
9.872393135s,1.378695599s,5m41.551125609s,297,0,0
8.711519797s,1.075039156s,9m0.447074412s,95,0,0
9.74295727s,1.30705008s,4m41.369963234s,360,0,0
9.250045283s,1.220251642s,6m50.763555358s,230,0,0
8.698793028s,1.173579854s,7m1.287038258s,213,0,0
9.133536423s,1.448769051s,3m12.106085501s,450,0,0
8.460969685s,1.069246397s,7m40.416766974s,177,0,0
9.364552726s,1.476895448s,2m0.86027725s,519,0,0
9.203599319s,1.079309606s,4m11.491807583s,382,0,0
9.379513863s,1.24482419s,8m20.792164157s,140,0,0
9.932944479s,1.007284025s,5m12.001518984s,330,0,0
8.636298311s,1.490095992s,10m11.646071159s,26,0,0
10.686678952s,1.338981634s,5m0.681192432s,332,0,0
9.50104938s,1.096753109s,4m1.201971914s,399,0,0
8.149589982s,1.156664968s,10m31.996310598s,6,0,0
8.030063893s,1.216307926s,5m23.122909271s,319,0,0
9.518911481s,1.346776378s,9m9.911070334s,85,0,0
8.976209387s,1.3011076s,5m12.958876524s,328,0,0
9.095718733s,1.474364791s,10m31.050177329s,3,0,0
9.198084891s,1.190022066s,8m40.65340424s,112,0,0
8.352967141s,1.289639278s,8m41.498586794s,119,0,0
8.584750811s,1.009609515s,2m42.024413732s,475,0,0
8.335391797s,1.327026427s,4m22.671718101s,379,0,0
8.590035796s,1.255993571s,5m2.778710382s,336,0,0
7.927390872s,1.292872831s,1m32.174834071s,544,0,0
9.05150371s,1.469276252s,1m51.499257661s,522,0,0
9.527656393s,1.478037847s,9m19.661199362s,74,0,0
8.969820808s,1.11110831s,10m20.938610407s,13,0,0
9.499175739s,1.48670985s,10m20.409161498s,18,0,0
8.746642156s,1.24908607s,7m20.537205789s,199,0,0
8.847746839s,1.141562046s,8m50.897999217s,105,0,0
8.200663468s,1.131560135s,8m51.544957193s,104,0,0
8.709825101s,1.197923431s,1m21.823234477s,556,0,0
9.998201196s,1.201475693s,4m0.705612297s,391,0,0
9.579741336s,1.189610817s,6m30.5479498s,243,0,0
8.285755973s,1.076364066s,7m30.992398158s,182,0,0
9.064316937s,1.444410957s,5m51.803481332s,285,0,0
9.108617317s,1.103845435s,9m40.792423455s,54,0,0
10.202356658s,1.402668747s,5m31.153239244s,306,0,0
10.56649129s,1.368853379s,5m11.368810788s,329,0,0
8.694262613s,1.332233814s,4m22.317786417s,375,0,0
9.737104587s,1.113467576s,7m49.880382491s,169,0,0
7.382335714s,1.058711766s,6m23.146391131s,251,0,0
8.977321473s,1.227725558s,2m1.253371164s,514,0,0
8.327845599s,1.044935259s,1m22.20945647s,554,0,0
10.078561331s,1.315744835s,8m20.09785429s,134,0,0
10.339788965s,1.3999795s,10m9.948267613s,24,0,0
8.149541001s,1.107754078s,9m1.015274184s,94,0,0
9.114135719s,1.390653125s,9m40.791404612s,60,0,0
8.982198675s,1.403012595s,10m20.929793983s,12,0,0
9.091948295s,1.288277854s,9m10.343066727s,81,0,0
8.833154266s,1.347439612s,4m1.87492715s,393,0,0
9.993047711s,1.107519732s,4m10.708102674s,390,0,0
9.743341959s,1.395107701s,9m19.445612614s,73,0,0
8.824795206s,1.346400437s,4m42.294234193s,353,0,0
9.19703043s,1.078073342s,7m50.420324393s,161,0,0
9.711668143s,1.323885186s,5m41.718039243s,291,0,0
8.285884523s,1.348362877s,4m52.400848441s,348,0,0
8.567710831s,1.186836438s,8m41.288974193s,111,0,0
10.40391906s,1.153842014s,2m40.209973868s,474,0,0
