consensusTime,searchTime,onChainTime,seqId,roundId,comId
6.5537475s,1.4441936s,6.6450443s,326,34,0
6.2704166s,1.2568831s,6.941029s,328,34,0
6.0650711s,1.155439s,7.1463745s,330,34,0
6.6754804s,1.3337386s,6.5406497s,324,34,0
6.8816244s,1.4961381s,6.3397004s,322,34,0
6.2054339s,1.1208608s,0s,338,34,0
6.2848337s,1.2196224s,0s,337,34,0
6.2872586s,1.2859392s,0s,331,34,0
6.3637073s,1.1983741s,0s,339,34,0
6.3739097s,1.4405847s,0s,334,34,0
6.5772975s,1.2606596s,0s,333,34,0
6.8027418s,1.2334573s,11.985144s,340,36,0
6.6619693s,1.2868766s,5.3385732s,343,36,0
5.9722813s,1.1027946s,6.0368071s,350,36,0
6.1950018s,1.3164591s,5.8353557s,345,36,0
6.595982s,1.2085255s,5.4343755s,342,36,0
5.9922661s,1.0854853s,6.0387998s,346,36,0
6.7076615s,1.3326577s,5.3345614s,349,36,0
6.7234316s,1.3769155s,5.3318767s,347,36,0
5.8151096s,1.4378601s,6.2401987s,341,36,0
5.9176308s,1.4236205s,6.1440947s,344,36,0
6.4280557s,1.3214479s,5.6449323s,348,36,0
5.522202s,1.3516052s,0s,359,36,0
6.0822828s,1.1164976s,11.5763602s,356,38,0
6.3890688s,1.2176283s,11.2706222s,360,38,0
7.2028215s,1.4316778s,3.8202384s,362,38,0
6.7963111s,1.3086402s,4.2267488s,367,38,0
6.593069s,1.3937232s,4.4299909s,361,38,0
7.3073602s,1.445104s,3.7234697s,366,38,0
6.3291836s,1.2756344s,11.3718425s,355,38,0
6.2186515s,1.2634126s,4.8358954s,368,38,0
5.9327986s,1.0803764s,11.7817623s,353,38,0
6.8281201s,1.2703094s,4.2271423s,363,38,0
6.551336s,1.3951218s,11.1737213s,352,38,0
6.4427697s,1.4892056s,4.6282594s,370,38,0
5.8444307s,1.2267361s,5.2310693s,369,38,0
6.6592985s,1.4459788s,11.0755s,358,38,0
6.4427697s,1.0193489s,4.6327303s,365,38,0
6.6520865s,1.3167162s,4.4260741s,364,38,0
6.168872s,1.4901202s,11.5685871s,351,38,0
6.1765885s,1.0754809s,11.5673271s,357,38,0
5.972457s,1.1637435s,11.7714586s,354,38,0
6.217043s,1.3231079s,4.1275629s,381,40,0
6.622271s,1.4093281s,3.7223349s,383,40,0
6.3250449s,1.150795s,4.025921s,382,40,0
6.9183836s,1.3737482s,10.3692353s,373,40,0
5.9320651s,1.4873049s,4.4290701s,386,40,0
5.9204103s,1.1334291s,11.3752807s,375,40,0
6.9339406s,1.0724517s,10.3712398s,380,40,0
5.8301613s,1.1666122s,11.4750191s,376,40,0
6.6500326s,1.4438949s,3.7250722s,389,40,0
