committee,daon,decentruth,seenfeed
413.9641809369999,1654.6751533640002,4187.803391988,3089.713707229
417.1437387039998,1659.311198177,4198.925013201,3097.999059937
421.0730827480001,1663.91344916,4210.372910403,3106.222592124
418.336195006,1668.261200161,4221.961918772,3114.898377055
418.50922444099984,1672.864123135,4233.254014242,3123.2036881
421.88891050599983,1677.326500649,4244.432375993,3131.847083993
425.54691358700006,1681.9650867060002,4255.3570661250005,3140.585722175
422.882398007,1686.1337403200002,4266.639922251001,3148.5045501500003
423.0339152479999,1690.7045602330002,4278.087212490001,3156.8652262120004
426.25787031299984,1695.200143698,4289.28439288,3164.7939929970003
430.0692073690001,1699.711908594,4300.389810846,3172.933850617
427.306278712,1704.054207951,4311.786409962,3181.382784587
427.75113999599984,1708.256786827,4323.224259296,3189.517354746
431.1137431689999,1712.502311823,4334.590381711,3197.640094097
434.6318378420001,1716.997382705,4345.526575191,3206.470839359
431.780857243,1721.307166289,4356.650771854,3214.782847742
432.17362551199983,1726.109672015,4367.944758932,3223.082131386
435.8275246359999,1730.566798029,4378.92679127,3231.418168459
439.2939738880001,1735.122340751,4390.381012469999,3239.80635127
436.32363572,1739.7851656419998,4401.814501106999,3248.305341462
436.9060883479999,1744.2064099999998,4413.101614804999,3256.778199816
440.5379506109999,1748.720337568,4424.026590046999,3265.041208323
443.9455193170001,1752.9291127949998,4435.118725111,3273.357375305
440.913193646,1757.486365674,4446.460156802,3281.422936004
441.39781244399984,1761.8603262279998,4457.796208242,3289.738201988
445.2855991569999,1766.6550254319998,4469.477423101,3298.0876654809995
448.4902471230001,1771.1844121629997,4481.196622453,3306.833915566
445.499601552,1776.0405482939998,4492.091440647,3315.500824876
445.7872639309998,1780.5333143709995,4503.112788925,3323.705947201
449.6575160479999,1784.9841812749996,4514.739527295,3332.2296199349994
452.9314245300001,1789.3898078509997,4526.19891461,3340.8001085559995
449.890208149,1793.7388721899997,4537.748076638,3349.491760967
450.39976726799983,1798.1609465889996,4548.910970434999,3357.961414662
454.2494741849999,1802.572107503,4560.519601132999,3366.023528872
457.66808486400015,1807.152943347,4571.957901785999,3374.048536261
454.497451716,1811.371984881,4583.436762629999,3382.54213453
454.95827339399983,1815.710637482,4594.653850459999,3390.940913892
458.5660031259999,1819.9436488539995,4606.037821915,3399.181852863
462.13071681900016,1824.2832655269997,4617.360906289,3407.545776528
459.060822946,1828.9834652719996,4628.664511506,3416.147934797
459.7134873889999,1833.4978736499995,4640.116969031,3424.840662578
463.2965335389999,1838.1377784159995,4651.349488641,3433.234481178
