time,committee,daon,decentruth,seenfeed,deepthought
1421,4399.0,16180.0,18780.0,18380.0,19980
1426,4399.0,16180.0,18780.0,18380.0,19980
1431,4399.0,16180.0,18780.0,18380.0,19980
1436,4399.0,16180.0,18780.0,18380.0,19980
1441,4399.0,16180.0,18780.0,18380.0,19980
1446,4399.0,16180.0,18780.0,18380.0,19980
1451,4399.0,16180.0,18780.0,18380.0,19980
1456,4399.0,16180.0,18780.0,18380.0,19980
1461,4399.0,16180.0,18780.0,18380.0,19980
1466,4399.0,16180.0,18780.0,18380.0,19980
1471,4399.0,16180.0,18780.0,18380.0,19980
1476,4399.0,16180.0,18780.0,18380.0,19980
1481,4399.0,16180.0,18780.0,18380.0,19980
1486,4399.0,16180.0,18780.0,18380.0,19980
1491,4399.0,16180.0,18780.0,18380.0,19980
1496,4399.0,16180.0,18780.0,18380.0,19980
1501,4399.0,16180.0,18780.0,18380.0,19980
1506,4399.0,16180.0,18780.0,18380.0,19980
1511,4399.0,16180.0,18780.0,18380.0,19980
1516,4399.0,16180.0,18780.0,18380.0,19980
1521,4399.0,16180.0,18780.0,18380.0,19980
1526,4399.0,16180.0,18780.0,18380.0,19980
1531,4399.0,16180.0,18780.0,18380.0,19980
1536,4399.0,16180.0,18780.0,18380.0,19980
1541,4399.0,16180.0,18780.0,18380.0,19980
1546,4399.0,16180.0,18780.0,18380.0,19980
1551,4399.0,16180.0,18780.0,18380.0,19980
1556,4399.0,16180.0,18780.0,18380.0,19980
1561,4399.0,16180.0,18780.0,18380.0,19980
1566,4399.0,16180.0,18780.0,18380.0,19980
1571,4399.0,16180.0,18780.0,18380.0,19980
1576,4399.0,16180.0,18780.0,18380.0,19980
1581,4399.0,16180.0,18780.0,18380.0,19980
1586,4399.0,16180.0,18780.0,18380.0,19980
1591,4399.0,16180.0,18780.0,18380.0,19980
1596,4399.0,16180.0,18780.0,18380.0,19980
1601,4399.0,16180.0,18780.0,18380.0,19980
1606,4399.0,16180.0,18780.0,18380.0,19980
1611,4399.0,16180.0,18780.0,18380.0,19980
1616,4399.0,16180.0,18780.0,18380.0,19980
1621,4399.0,16180.0,18780.0,18380.0,19980
1626,4399.0,16180.0,18780.0,18380.0,19980
1631,4399.0,16180.0,18780.0,18380.0,19980
1636,4399.0,16180.0,18780.0,18380.0,19980
1641,4399.0,16180.0,18780.0,18380.0,19980
1646,4399.0,16180.0,18780.0,18380.0,19980
1651,4399.0,16180.0,18780.0,18380.0,19980
1656,4399.0,16180.0,18780.0,18380.0,19980
1661,4399.0,16180.0,18780.0,18380.0,19980
1666,4399.0,16180.0,18780.0,18380.0,19980
1671,3019.0,16180.0,18780.0,18380.0,19980
1676,3019.0,16180.0,18780.0,18380.0,19980
1681,3019.0,16180.0,18780.0,18380.0,19980
1686,3019.0,16180.0,18780.0,18380.0,19980
1691,3019.0,16180.0,18780.0,18380.0,19980
1696,3019.0,16180.0,18780.0,18380.0,19980
1701,3019.0,16180.0,18780.0,18380.0,19980
1706,3019.0,16180.0,18780.0,18380.0,19980
1711,3019.0,16180.0,18780.0,18380.0,19980
1716,3019.0,16180.0,18780.0,18380.0,19980
1721,3019.0,16180.0,18780.0,18380.0,19980
1726,3019.0,14339.0,18780.0,18380.0,19980
1731,3019.0,14339.0,18780.0,18380.0,19980
1736,3019.0,14339.0,18780.0,18380.0,19980
1741,3019.0,14339.0,18780.0,18380.0,19980
1746,3019.0,14339.0,18780.0,18380.0,19980
1751,3019.0,14339.0,18780.0,18380.0,19980
1756,3019.0,14339.0,18780.0,17480.0,19980
1761,1929.0,14339.0,18780.0,17480.0,19980
1766,1929.0,14339.0,18780.0,17480.0,19980
1771,1929.0,14339.0,18780.0,17480.0,19980
1776,789.0,14339.0,18780.0,17480.0,19980
1781,789.0,14339.0,18780.0,17480.0,19980
1786,789.0,14339.0,18780.0,17480.0,19980
1791,789.0,14339.0,18780.0,17480.0,19980
1796,789.0,14339.0,18203.0,17480.0,19980
1801,789.0,14339.0,18202.0,17480.0,19980
1806,789.0,14339.0,18202.0,17480.0,19980
1811,789.0,14339.0,18202.0,17480.0,19980
1816,789.0,14339.0,18202.0,17480.0,19980
1821,789.0,14339.0,18202.0,17480.0,19980
1826,789.0,14339.0,18202.0,17480.0,19980
1831,789.0,14339.0,18202.0,17480.0,19980
1836,789.0,14339.0,18202.0,17480.0,19980
1841,789.0,14339.0,18202.0,17480.0,19980
1846,789.0,14339.0,18202.0,17480.0,19980
1851,789.0,14339.0,18202.0,17480.0,19980
1856,789.0,14339.0,18202.0,17480.0,19980
1861,789.0,14339.0,18202.0,17480.0,19980
1866,789.0,14339.0,18202.0,17480.0,19980
1871,789.0,14339.0,18202.0,17480.0,19979
1876,0.0,14339.0,18202.0,17480.0,19979
1881,0.0,14339.0,18202.0,17480.0,19977
1886,0.0,14339.0,18202.0,17480.0,19977
1891,0.0,14339.0,18202.0,17480.0,19977
1896,0.0,14339.0,18202.0,17480.0,19977
1901,0.0,14339.0,18202.0,17480.0,19977
1906,0.0,14339.0,18202.0,17480.0,19977
1911,0.0,14339.0,18202.0,17480.0,19977
1916,0.0,14339.0,18202.0,17480.0,19977
1921,0.0,14339.0,18202.0,17480.0,19977
1926,0.0,14339.0,18202.0,17480.0,19977
1931,0.0,14339.0,18202.0,17480.0,19976
1936,0.0,14339.0,18202.0,17480.0,19976
1941,0.0,14339.0,18202.0,17480.0,19975
1946,0.0,14339.0,18202.0,17480.0,19975
1951,0.0,14339.0,18202.0,17480.0,19975
1956,0.0,14339.0,18202.0,17480.0,19974
1961,0.0,14339.0,18202.0,17480.0,19974
1966,0.0,14339.0,18202.0,17480.0,19974
1971,0.0,14339.0,18202.0,17480.0,19974
1976,0.0,14339.0,18202.0,17480.0,19974
1981,0.0,14339.0,18202.0,17480.0,19973
1986,0.0,14339.0,18202.0,17480.0,19973
1991,0.0,14339.0,18202.0,17480.0,19973
1996,0.0,14339.0,18202.0,17480.0,19973
2001,0.0,14339.0,18202.0,17480.0,19973
2006,0.0,14339.0,18202.0,17480.0,19972
2011,0.0,14339.0,18202.0,17480.0,19972
2016,0.0,14339.0,18202.0,17480.0,19972
2021,0.0,14339.0,18202.0,17480.0,19971
2026,0.0,14339.0,18202.0,17480.0,19970
2031,0.0,14339.0,18202.0,17480.0,19970
2036,0.0,14339.0,18202.0,17480.0,19970
2041,0.0,14339.0,18202.0,17480.0,19970
2046,0.0,14339.0,18202.0,17480.0,19970
2051,0.0,14339.0,18202.0,17480.0,19970
2056,0.0,14339.0,18202.0,17480.0,19970
2061,0.0,14339.0,18202.0,17480.0,19970
2066,0.0,14339.0,18202.0,17480.0,19970
2071,0.0,14339.0,18202.0,17480.0,19970
2076,0.0,14339.0,18202.0,17480.0,19970
2081,0.0,14339.0,18202.0,17480.0,19970
2086,0.0,14339.0,18202.0,17480.0,19970
2091,0.0,14339.0,18202.0,17480.0,19970
2096,0.0,14339.0,18202.0,17480.0,19970
2101,0.0,14339.0,18202.0,17480.0,19970
2106,0.0,14339.0,18202.0,17480.0,19970
2111,0.0,14339.0,18202.0,17480.0,19970
2116,0.0,14339.0,18202.0,17480.0,19970
2121,0.0,14339.0,18202.0,17480.0,19970
2126,0.0,14339.0,18202.0,17480.0,19970
2131,0.0,14339.0,18202.0,17480.0,19970
2136,0.0,14339.0,18202.0,17480.0,19970
2141,0.0,14339.0,18202.0,17480.0,19970
2146,0.0,14339.0,18202.0,17480.0,19970
2151,0.0,14339.0,18202.0,17480.0,19970
2156,0.0,14339.0,18202.0,17480.0,19970
2161,0.0,14339.0,18202.0,17480.0,19970
