committee,seqId,daon,decentruth,seenfeed,deepthought
1.2538211s,40.0,1.493539386s,1.047875282s,1.4921874s,1.154110271s
1.4046129s,41.0,1.045956028s,1.381058813s,1.139196s,1.183582448s
1.3790306s,42.0,1.286960607s,1.308178452s,1.4682087s,1.236805137s
1.1168808s,43.0,1.284786279s,1.10838204s,1.494288s,1.316333283s
1.1041669s,44.0,1.26164697s,1.338639925s,1.0043028s,1.136269782s
1.1661273s,45.0,1.272554912s,1.421792632s,1.4397034s,1.373559337s
1.319032s,46.0,1.161718359s,1.269102428s,1.086493s,1.402743678s
1.0836256s,47.0,1.236429164s,1.025912237s,1.2936346s,1.10286854s
1.0985453s,48.0,1.299032621s,1.288676746s,1.4453888s,1.127015656s
1.2715151s,49.0,1.467855728s,1.438648542s,1.3037242s,1.489016449s
1.1168889s,50.0,1.110053535s,1.394926613s,1.3193666s,1.240063475s
1.3064921s,51.0,1.272634107s,1.246809747s,1.0495639s,1.499281332s
1.1405466s,52.0,1.00570962s,1.135605889s,1.2051508s,1.222688273s
1.2900714s,53.0,1.251631522s,1.319115196s,1.0345773s,1.446787174s
1.0202769s,54.0,1.327656236s,1.37925937s,1.4096s,1.480043007s
1.0844153s,55.0,1.493021487s,1.32938024s,1.27168s,1.04811364s
1.4477397s,56.0,1.353612952s,1.416379124s,1.0837224s,1.05731245s
1.4476538s,57.0,1.3430151s,1.073243016s,1.0558438s,1.364363245s
1.3340898s,58.0,1.43607306s,1.404826997s,1.3581815s,1.233938011s
1.0801564s,59.0,1.106084897s,1.088465184s,1.0147683s,1.247063091s
1.1814942s,60.0,1.156292476s,1.022342257s,1.3860335s,1.426582236s
1.2688708s,61.0,1.189910974s,1.252456526s,1.4436636s,1.225804458s
1.3131402s,62.0,1.37119673s,1.490433586s,1.0168685s,1.374765024s
1.3294845s,63.0,1.264920194s,1.497640249s,1.364367s,1.462041607s
1.4315997s,64.0,1.185511203s,1.078443734s,1.0300515s,1.488792727s
1.3644986s,65.0,1.294974439s,1.378650274s,1.0205294s,1.481556278s
1.1492365s,66.0,1.377119504s,1.433036994s,1.3786999s,1.47230429s
1.3581342s,67.0,1.248509095s,1.048019563s,1.2229304s,1.367550733s
1.2959115s,68.0,1.246335829s,1.319052591s,1.2142246s,1.261017123s
1.4112536s,69.0,1.481244914s,1.110884845s,1.4841277s,1.29327419s
1.2351078s,70.0,1.376016505s,1.322240319s,1.23328s,1.490991496s
1.2080186s,71.0,1.162489798s,1.128618861s,1.355187s,1.413086529s
1.2541845s,72.0,1.400040157s,1.348720888s,1.2507554s,1.240085408s
1.1891081s,73.0,1.013643773s,1.103913405s,1.392497s,1.19271366s
1.3545219s,74.0,1.344833787s,1.480775871s,1.3687421s,1.137213495s
1.3032317s,75.0,1.431029627s,1.353936482s,1.0906856s,1.172499346s
1.0756557s,76.0,1.407740613s,1.048530652s,1.140837s,1.422308317s
1.0642194s,77.0,1.339327895s,1.313868265s,1.0924082s,1.280674217s
1.4032278s,78.0,1.281588173s,1.401332708s,1.2507554s,1.360904823s
1.1727285s,79.0,1.321792451s,1.057805074s,1.0307281s,1.483663116s
1.0972321s,80.0,1.39448168s,1.08754218s,1.2687171s,1.24631412s
1.228534s,81.0,1.329937427s,1.233689898s,1.1776195s,1.458454183s
1.2254569s,82.0,1.202023868s,1.268047743s,1.3471305s,1.203383427s
1.195389s,83.0,1.367327402s,1.124360251s,1.371795s,1.141853031s
1.2463201s,84.0,1.076346027s,1.437898639s,1.4036032s,1.042122001s
1.0770471s,85.0,1.442016467s,1.202333166s,1.1109912s,1.080370181s
1.0120014s,86.0,1.347674108s,1.123203662s,1.4771172s,1.413261781s
1.3779712s,87.0,1.440911085s,1.152592028s,1.0684005s,1.198046661s
1.4996322s,88.0,1.222055228s,1.087483075s,1.4849984s,1.087590232s
1.338651s,89.0,1.308894855s,1.306820827s,1.1179783s,1.347999169s
1.0170842s,90.0,1.421103125s,1.263934078s,1.0425056s,1.210688196s
1.0061213s,91.0,1.460899169s,1.139885476s,1.3557119s,1.17902188s
1.3531157s,92.0,1.063561164s,1.347650465s,1.1558831s,1.494323305s
1.0863449s,93.0,1.041572107s,1.328928709s,1.2260758s,1.158423433s
1.0170842s,94.0,1.431049391s,1.241776803s,1.4141134s,1.144174059s
1.1277585s,95.0,1.134019573s,1.01204383s,1.1022004s,1.493166877s
1.2499539s,96.0,1.325792678s,1.395390024s,1.2509214s,1.159536824s
1.3251209s,97.0,1.44551828s,1.207969128s,1.4899199s,1.392949161s
1.3359915s,98.0,1.192429017s,1.460078998s,1.1665519s,1.318432962s
1.2365528s,99.0,1.366425646s,1.344327904s,1.3215251s,1.173821898s
1.3665959s,100.0,1.298010481s,1.320448493s,1.249989s,1.33164922s
1.4745489s,101.0,1.302759719s,1.21426614s,1.2967321s,1.139422494s
1.0495837s,102.0,1.283025468s,1.175255473s,1.0648094s,1.067133569s
