time,handled_num,q_len,comId
411976,6190,13810,0
411981,6190,13810,0
411986,6190,13810,0
411991,6190,13810,0
411996,6190,13810,0
412001,6190,13810,0
412006,6190,13810,0
412011,6190,13810,0
412016,6190,13810,0
412021,6190,13810,0
412026,6190,13810,0
412031,6190,13810,0
412036,6190,13810,0
412041,6190,13810,0
412046,6190,13810,0
412051,6190,13810,0
412056,6190,13810,0
412061,6190,13810,0
412066,6190,13810,0
412071,6190,13810,0
412076,6190,13810,0
412081,6190,13810,0
412086,6190,13810,0
412091,6190,13810,0
412096,6190,13810,0
412101,6190,13810,0
412106,6190,13810,0
412111,6190,13810,0
412116,6190,13810,0
412121,6190,13810,0
412126,6190,13810,0
412131,6190,13810,0
412136,6190,13810,0
412141,6190,13810,0
412146,6190,13810,0
412151,6190,13810,0
412156,6190,13810,0
412161,6190,13810,0
412166,6190,13810,0
412171,6190,13810,0
412176,6190,13810,0
412181,6190,13810,0
412186,6190,13810,0
412191,6190,13810,0
412196,6192,13808,0
412201,6192,13808,0
412206,6192,13808,0
412211,6192,13808,0
412216,6193,13807,0
412221,6193,13807,0
412226,6193,13807,0
412231,6193,13807,0
412236,6193,13807,0
412241,6194,13806,0
412246,6194,13806,0
412251,6196,13804,0
412256,6196,13804,0
412261,6196,13804,0
412266,6196,13804,0
412271,6196,13804,0
412276,6196,13804,0
412281,6196,13804,0
412286,6196,13804,0
412291,6196,13804,0
412296,6198,13802,0
412301,6199,13801,0
412306,6199,13801,0
412311,6199,13801,0
412316,6199,13801,0
412321,6199,13801,0
412326,6199,13801,0
412331,6199,13801,0
412336,6199,13801,0
412341,6199,13801,0
412346,6200,13800,0
412351,6200,13800,0
412356,6200,13800,0
412361,6200,13800,0
412366,6200,13800,0
412371,6200,13800,0
412376,6200,13800,0
412381,6200,13800,0
412386,6200,13800,0
412391,6200,13800,0
412396,6200,13800,0
412401,6200,13800,0
412406,6200,13800,0
412411,6200,13800,0
412416,6200,13800,0
412421,6200,13800,0
412426,6200,13800,0
412431,6200,13800,0
412436,6200,13800,0
412441,6200,13800,0
412446,6200,13800,0
412451,6200,13800,0
412456,6200,13800,0
412461,6200,13800,0
412466,6200,13800,0
412471,6200,13800,0
412476,6200,13800,0
412481,6200,13800,0
412486,6200,13800,0
412491,6200,13800,0
412496,6200,13800,0
412501,6200,13800,0
412506,6200,13800,0
412511,6200,13800,0
412516,6200,13800,0
412521,6200,13800,0
412526,6200,13800,0
412531,6200,13800,0
412536,6200,13800,0
412541,6200,13800,0
412546,6200,13800,0
412551,6200,13800,0
412556,6200,13800,0
412561,6200,13800,0
412566,6200,13800,0
412571,6200,13800,0
412576,6200,13800,0
412581,6200,13800,0
412586,6200,13800,0
412591,6200,13800,0
412596,6200,13800,0
412601,6200,13800,0
412606,6200,13800,0
412611,6200,13800,0
412616,6200,13800,0
412621,6200,13800,0
412626,6200,13800,0
412631,6200,13800,0
412636,6200,13800,0
412641,6200,13800,0
412646,6200,13800,0
412651,6200,13800,0
412656,6200,13800,0
