consensusTime,searchTime,onChainTime,seqId,roundId,comId
2.4579624s,1.0833123s,10.269502s,6055,156,2
2.5381846s,1.0777824s,7.4456881s,6119,156,2
2.6384148s,1.1847579s,7.3454579s,6083,156,2
2.508095s,1.0226711s,4.5296705s,6123,156,2
2.7119012s,1.0727225s,4.3258643s,6143,156,2
2.8078002s,1.0218287s,1.005808s,6191,156,2
2.4790952s,1.0467788s,10.2596548s,6051,156,2
2.9529504s,1.4301668s,7.041877s,6091,156,2
3.2267117s,1.46862s,3.8255149s,6131,156,2
2.6651627s,1.1704322s,7.3467624s,6111,156,2
2.6901033s,1.3934696s,10.0657444s,6079,156,2
2.5931433s,1.137533s,10.1627044s,6075,156,2
2.4636796s,1.0271296s,7.5482455s,6087,156,2
2.3931333s,1.2592326s,10.3627144s,6063,156,2
2.8280865s,1.1486636s,1.0067223s,6179,156,2
2.200037s,1.0378873s,10.562286s,6047,156,2
2.7004925s,1.3619067s,10.0618305s,6071,156,2
2.4396506s,1.0140831s,4.6257994s,6151,156,2
2.2328794s,1.0078941s,1.6113004s,6171,156,2
3.2462598s,1.3566346s,603.7593ms,6175,156,2
2.5456431s,1.1011149s,1.3079894s,6199,156,2
2.5516703s,1.4695246s,1.3089728s,6163,156,2
2.8900951s,1.3331095s,7.1502101s,6095,156,2
2.6569144s,1.0781132s,1.2089334s,6183,156,2
2.8629616s,1.2774364s,4.22921s,6139,156,2
2.9002158s,1.2707549s,7.1456583s,6115,156,2
2.7005567s,1.4088819s,7.3449532s,6107,156,2
2.5643812s,1.4407808s,4.5285425s,6147,156,2
2.8707302s,1.3419247s,4.2235326s,6135,156,2
2.5622719s,1.4390084s,1.3089509s,6187,156,2
2.6281797s,1.3120145s,12.4804947s,6024,156,3
2.6466242s,1.2100923s,502.263ms,6192,156,3
2.6466242s,1.1937261s,502.263ms,6172,156,3
2.6409765s,1.3452704s,12.4740021s,6028,156,3
2.9124188s,1.14138s,3.4164077s,6156,156,3
2.4781669s,1.1784816s,9.7564371s,6056,156,3
2.6466242s,1.4939889s,503.8674ms,6188,156,3
2.9544333s,1.2802177s,201.2007ms,6168,156,3
3.0190342s,1.2701177s,3.318569s,6140,156,3
